EP350MX,EP450,DEP450,R2,SL500,DEP250,A8,X10d,Código,Descripción,Clasificación,LISTA
,,,,,X,,,3080384G15,Adaptador para carga vehicular,, $ 12.219 
,X,X,,,,,,NNTN6844,Cargador de pared multiple,, $ 195.507 
X,X,X,,,,,,NNTN8460,Cargador de inserción (EP450),, $ 55.439 
X,,,,,,,,PMLN6597,Cargador multiuso. US,, $ 595.325 
,X,X,X,,,,,PMLN7089,Cargador de viaje,, $ 130.995 
,,,,X,,,,PMLN7110,"Cargador estándar de una sola unidad, EUR",Mg O, $ 61.594 
,,,,,,X,,PMLN4685,Base cargador Mag one Mid Rate,Mg O, $ 37.155 
,,,,,,,,RLN6309,Cargador multiple. RVA50,, $ 263.845 
,,,,,,,,RLN6349,Adaptador. RVA50,, $ 2.399 
,,X,X,,,,,WPLN4139,Cargador rápido Euro,, $ 70.147 
,,X,X,,,,,PMLN6598,Cargador múltiple universal. Euro,, $ 615.848 
,,,,,X,,,PMLN5397,Cargador rápido de escritorio. Euro,, $ 72.342 
,,X,X,,X,,,EPNN7991,Repuesto fuente alimentación cargador rápido escritorio,, $ 23.465 
,,X,X,,X,,,3004209T01,Cable de alimentación Euro,, $ 11.540 
,,,,,,,X,PMLN8599,Bae cargador individual,Mg O, $ 72.817 
,,,,,,,X,PS000150A32,Fuente de alimentación Euro,, $ 27.109 
Auriculares,,,,,,,,,,,
,X,,,,,,,0180300E83,Botón de cuerpo push to talk para micrófono para oreja,, $ 334.806 
,,X,,,,,,0186180Z01,Auriculares de espuma de repuesto,, $ 13.984 
,X,X,X,X,,,,5080370E97,Eartip repuesto estándar claro,, $ 68.111 
,X,X,,X,,,,5080384F72,Tapones de espuma de rep. Paq. 50,, $ 163.330 
,X,X,,,,,,7580372E11,Espuma de reemplazo para el oído,, $ 2.942 
,,,,,,,,PMLN4294,Audífono y micrófono PTT de solapa,, $ 37.155 
,,,,,,,,HKLN4424,Auricular giratorio cp,, $ 59.965 
,,,,,,,,HKLN4599,"Audifono auricular con PTT, Mic, conector liso, sin PVC",, $ 22.492 
,,,,,,,,HMN8435,Auricular con Mic de pinza y PTT,, $ 63.359 
,X,,,,,X,,HMN9036,Auricular con micrófono de pinza y PTT,, $ 63.359 
X,X,,,,,X,,PMLN4443,Receptor Mag One ear con interruptor Mic/PTT/VOX,Mg O, $ 25.706 
X,X,,,,,X,,PMLN4444,Mag One auricular con micrófono en línea PTT/Mic/VOX switch,Mg O, $ 43.989 
,,X,X,,X,X,,PMLN4445,Diadema con PTT y Vox Mago one,Mg O, $ 40.663 
,X,,,,,X,,PMLN5001,Auricular tipo D de carcasa con micrófono PTT.,, $ 46.433 
,,X,,,X,,,PMLN6445,Kit vigilancia beige,, $ 60.598 
,,X,,,X,X,,PMLN6530,Kit vigilancia negro,, $ 62.114 
,,X,X,,X,,X,PMLN6531,"Auricular receptor con microfono, PTT y VOX",Mg O, $ 29.326 
,,X,X,,X,,X,PMLN6532,Auricular con microfono y PTT,Mg O, $ 34.078 
,,X,X,,X,,,PMLN6533,Auricular con MIC/PTT combinado,, $ 37.155 
,,X,X,,X,,X,PMLN6534,"Auricular con micrófono, PTT y VOX",Mg O, $ 27.380 
,,X,X,,X,,,PMLN6535,Auricular con micrófono y PTT,, $ 46.433 
,,X,,,X,,X,PMLN6536,"Kit vigilancia con desconectado rápido, negro",, $ 250.720 
,,X,,,X,,,PMLN6537,"Auricular con micrófono, PTT y VOX",Mg O, $ 43.989 
,,X,X,,X,,,PMLN6538,Audífono liviano con micrófono giratorio,, $ 97.754 
,,X,,,X,,,PMLN6541,Auricular liviano con micrófono y PTT,, $ 134.411 
,,X,X,,X,,X,PMLN6542,Auricular ultra liviano con micrófono y PTT,Mg O, $ 43.989 
,,,,X,,,,PMLN7189,"Auricular giratorio, micrófono en línea y PTT",, $ 40.074 
,,,,X,,,,PMLN7156,Auricular con PTT en línea,Mg O, $ 29.756 
,,,,X,,,,PMLN7157,"Kit de vigilancia de 2 cables con tubo translúcido, negro",, $ 58.652 
,,,,X,,,,PMLN7158,"Kit de vigilancia de 1 cable con tubo translúcido, negro",, $ 61.594 
,,,,X,,,,PMLN7159,"Auricular ajustable estilo D con PTT / micrófono en línea, negro",, $ 65.984 
,X,,,,,X,,PMMN4001,Auricular con micrófono de brazo flexible,, $ 85.987 
,,X,X,X,,,,RLN4760,"Reemplazo auricular transparente pequeño para oreja derecha (para PMLN6536, PMLN6530, PMLN6445, PMLN7157, PMLN7158)",, $ 28.217 
,,X,X,X,,,,RLN4761,"Reemplazo auricular transparente mediano para oreja derecha (para PMLN6536, PMLN6530, PMLN6445, PMLN7157, PMLN7158)",, $ 28.217 
,,X,X,X,,,,RLN4762,"Reemplazo auricular transparente grande oreja derecha (para PMLN6536, PMLN6530, PMLN6445, PMLN7157, PMLN7158)",, $ 28.217 
,,X,X,X,,,,RLN4763,"Reemplazo auricular transparente pequeño oreja izquierda (para PMLN6536, PMLN6530, PMLN6445, PMLN7157, PMLN7158)",, $ 29.598 
,,X,X,X,,,,RLN4764,"Reemplazo auricular transparente mediano oreja izquierda (para PMLN6536, PMLN6530, PMLN6445, PMLN7157, PMLN7158)",, $ 28.217 
,,X,X,X,,,,RLN4765,"Reemplazo auricular transparente grande oreja izquierda (para PMLN6536, PMLN6530, PMLN6445, PMLN7157, PMLN7158)",, $ 33.829 
,,X,,X,,,,RLN6511,Protectores auditivos transparentes pequeños. Reducción de ruido 28 dB,, $ 48.764 
,,X,,X,,,,RLN6512,Protectores auditivos transparentes medio. Reducción de ruido 28 dB,, $ 48.764 
,,X,,X,,,,RLN6513,Protectores auditivos transparentes grande. Reducción de ruido 28 dB,, $ 48.764 
X,X,,,,,,,RLN5317,Auricular de 2 conectores con micrófono y PTT (beige),, $ 202.975 
X,X,,,,,,,RLN5318,Auricular de 2 conectores con micrófono y PTT combinado (negro),, $ 205.283 
,X,X,,,,,,RLN5500,Clip retenedor de accesorios,, $ 14.663 
X,X,X,,X,,,,RLN6230,Kit de ruido fuerte (incluye tapones de espuma con tubo acústico). Compatible con PMLN6536,, $ 43.989 
X,X,X,,,,,,RLN6232,Kit de bajo ruido (incluye audífonos de goma con tubo acústico),, $ 31.001 
X,X,X,,,,,,RLN6241,"Kit de bajo ruido, beige (incluye audífonos de goma con tubo acústico)",, $ 31.679 
X,X,X,X,X,,,,RLN6242,Accesorio de tubo acústico de desconexión rápida,, $ 10.748 
Audífonos,,,,,,,,,,,
,,,,,,,,BDN6773,Diadema con micrófono de brazo giratorio,, $ 85.987 
,,X,X,,X,,,PMLN6854,"Diadema reforzado detrás de la cabeza, compatible con casco, micrófono de brazo con cancelación de ruido, PPT (NRR 24db)",, $ 712.788 
,,X,X,,X,,,PMLN7468,Diadema reforzado sobre la cabeza con doble auricular y micrófono de brazo articulado con cancelación de ruido. Usar con PMLN8502,, $ 712.788 
X,X,,,,,,,PMLN4445,Audífono ultra ligero de diadema con PTT/VOX,Mg O, $ 40.663 
,X,,,,,X,,PMLN5011,Transductor liviano para la sien,, $ 268.823 
,X,X,,,,,,REX4648,Kit de almohadillas y cubridor de viento,, $ 9.685 
,X,,,,,X,,RLN5411,Diadema ultra liviana para colocar detrás de la cabeza,, $ 117.621 
Micrófonos y accesorios,,,,,,,,,,,
X,X,X,X,,X,X,,AARLN4885,"Auricular tipo earbud de espuma para recepción con tapónn de 3,5 mm. ",, $ 53.493 
X,X,X,X,,X,X,,PMLN4620,"Auricular en forma cóncava para recepción únicamente (conector de 3,5 mm)",, $ 35.232 
X,X,X,X,,X,X,,PMMN4013,Micrófono parlante remoto con conector para accesorio de audio,FM, $ 49.148 
X,X,,,,,X,,PMMN4008,Micrófono de parlante remoto,Mg O, $ 42.609 
X,X,X,X,,X,,,PMMN4029,Micrófono parlante remoto con especificaciones de IP57,FM, $ 105.198 
,,,,,,X,,PMMN4077,Micrófono parlante remoto,Mg O, $ 42.609 
,,X,,,,,X,PMMN4092,Micrófono parlante remoto,Mg O, $ 45.279 
X,X,X,X,,,X,,WADN4190,Receptor flexible para oreja para usarse micrófono parlante remoto o micrófono de seguridad pública ,, $ 75.510 
,,,X,,,,,PMMN4148,"RM110 Micrófono parlante remoto, 3,5 jack de audio, windporting, IP55",, $ 113.661 
,,,X,,,,,PMMN4149,"RM110 Micrófono parlante remoto, windporting, IP55",, $ 105.017 
,,,,X,,,,PMMN4125,"RM250 Micrófono parlante remoto, windporting, IP67",, $ 207.727 
,,,X,,,,,PMLN8120,"Receptor translúcido Xtra fuerte, 3.5 mm",, $ 98.206 
X,X,X,X,,X,X,,RLN4941,Auricular para recepción con tubo translucido y cubierta ,, $ 110.244 
,,X,X,,,,,PMLN7560,"Recepción sólo, el auricular con tubo translúcido y punta de goma",, $ 78.203 
,,X,X,,,,,PMLN7396,Auricular ajustable D-shell,, $ 35.436 
Cable de Programación,,,,,,,,,,,
,X,,,,,X,,PMDN4043,Cable de programación ,, $ 62.227 
,X,X,X,,X,,,PMKN4128,Cable de programación con TTR,, $ 72.976 
,,,,X,,,,CB000262A01,Cable de programación micro USB,, $ 17.424 
,,,,,,,X,PMKN4294,Cable de programación USB-A a USB-C,, $ 6.788 
,,,,,,,X,PMKN4274,Cable solo de carga USB-A a USB-C,, $ 12.129 
,,,,,,,X,PMKN4311,Cable de programación de aplicaciones USB-c a USB-C,, $ 12.627 
