R5,DEP 500e / 570e,SL 500e,DGP 4100,DGP 6100,DGP 6100+,DGP 5000 / 5000e,DGP 8000 / 8000e,SL 8050,SL8550 e,Código,Descripción,DEP500 UL TIA-4950,DGP 5000/8000e UL TIA-4950,,LISTA
,,,X,X,X,X,X,,,PMLN6767,PTT de cuerpo remoto (para uso con el módulo de interfaz PMLN6827),,,, $ 310.368 
,,,X,X,X,X,X,,,PMLN6833,Transductor temple con micrófono de cancelación de ruido (requiere módulo de interfaz PMLN6827),,,, $ 554.752 
,,,X,X,X,X,X,,,PMLN6827,Módulo de interfaz PTT,,,, $ 431.587 
,,,,,,,,,,Auricular,,,,,
 ,,X,X,X,X,X,X,,,5080384F72,Tapones de espuma de repuesto. Paq 50,,,, $ 163.330 
X,X,,X,X,X,X,X,,,AARLN4885,"Auricular tipo earbud de espuma para recepción con tapón de 3,5 mm. FM / UL",,,, $ 53.493 
X,X,,,,,,,,,HKLN4608,"Tubo acústico transparente, sin PVC",,,, $ 13.577 
,,,,X,X,,,,,NTN2571,Cápsula PPT inalámbrica,,,, $ 232.165 
,,,,X,X,,,,,NTN2570,"Auricular con cable de 12 ""y cápsula push-to-talk ",,,, $ 551.087 
,X,X,X,X,X,X,X,X,X,NNTN8125,"Kit de accesorio inalámbrico, cápsula + estándar par, 12'' cable. * Serie DEP500 sólo versión e",,,, $ 413.009 
,X,X,X,X,X,X,X,X,X,NNTN8127,Capsula PPT inalámbrica solamente con fuente de alimentación * Serie DEP500 sólo versión e,,,, $ 223.453 
,X,X,X,X,X,X,X,X,X,NNTN8294,"Auricular inalámbrico con cable 11.4”, mic en línea, negro. Uso con NNTN8127. * Serie DEP500 sólo versión e",,,, $ 68.428 
,X,X,X,X,X,X,X,X,X,NNTN8295,"Auricular inalámbrico con cable 45.7”, mic en línea, negro. Uso con NNTN8127. *Serie DEP500 sólo versión e",,,, $ 73.225 
,X,X,X,X,X,X,X,X,X,NNTN8299,Remplazo eartips. *Serie DEP500 sólo versión e,,,, $ 5.386 
,X,X,X,X,X,X,X,X,X,NNTN8296,Kit inalámbrico incubierto *Serie DEP500 sólo versión e,,,, $ 305.254 
,,,X,X,X,X,X,X,X,PMLN7696,Kit auricular completamente discreto (reemplaza RLN4922),,,, $ 1.075.291 
,,,X,X,X,X,X,X,X,NNTN8385,Adaptador inalámbrico neckloop y y gancho de retención,,,, $ 156.406 
,,,X,X,X,,,X,X,NNTN8361,"Eartips, reemplazo masivo",,,, $ 51.321 
,,,X,X,X,X,X,X,X,NNTN8737,"Adaptador de auricular comercial 3. 5, multipack (pk de 10 NNTN8309)",,,, $ 586.522 
X,X,,X,X,X,X,X,,,PMLN4620,"Auricular en forma D-Shell recepción únicamente, para mic parlante (conector de 3,5 mm) FM / UL",X,X,, $ 35.232 
X,X,,X,X,X,X,X,,,PMLN7396,Auricular ajustable D-shell,,,, $ 35.436 
,X,,,,,,,,,PMLN7269,"Kit de vigilancia 2 cables con auricular, rápido desconectado, negro ",X,,, $ 83.091 
X,X,,,,,,,,,PMLN7270,"Kit de vigilancia 2 cables con auricular, rápido desconectado, beige ",X,,, $ 83.091 
X,X,,,,,,,,,PMLN6754,"Kit de vigilancia de 3 hilos impres con tubo translúcido de desconexión rápida, negro",X,,, $ 222.390 
X,X,,,,,,,,,PMLN6755,"Kit de vigilancia de 3 hilos impres con tubo translúcido de desconexión rápida, beige",X,,, $ 222.390 
X,X,,,,,,X,,,PMLN5727,"Mag one auricular giratorio con micrófono en línea y PTT. * Serie DEP500 / DGP8050-Elite, versión e",X,,, $ 50.099 
,,,,,,X,X,,,PMLN5975,Mag one auricular giratorio con micrófono en línea y PTT. ,,,, $ 63.540 
X,X,,,,,,X,,,PMLN5732,"Mag one auricular con micrófono. * Serie DEP500 / DGP8050-Elite, versión e",X,,, $ 48.877 
,X,X,,,,,,,,PMLN7156,Mag one earbud con micrófono en línea y push-to-talk,,,, $ 29.756 
X,X,,,,,,X,,,PMLN5733,"Mag one auricular con micrófono en línea y PTT. * Serie DEP500 / DGP8050-Elite, versión e",X,,, $ 35.436 
,,X,,,,,,X,X,PMLN7157,"Kit de vigilancia de 2 cables con tubo translúcido, negro",,,, $ 58.652 
,,X,,,,,,X,X,PMLN7158,"Auricular de cable individual , micrófono en línea y PTT",,,, $ 61.594 
,,X,,,,,,X,X,PMLN7189,Auricular giratorio con micrófono en línea y PTT,,,, $ 40.074 
,,X,,,,,,X,X,PMLN7159,"Auricular ajustable estilo D con micrófono en línea y pulsar para hablar, negro",,,, $ 65.984 
,,,,,,X,X,,,PMLN6047,Adaptador de audio con conector Molex,,,, $ 190.620 
,,,X,X,X,X,X,,,PMLN6095,"Adaptador de audio, adaptador PTT en línea, GCAI",,,, $ 610.961 
,,,X,X,X,X,X,,,PMLN6123,Impres 3 kit de vigilancia 3 hilos con tubo translúcido negro FM / UL,,X,, $ 268.483 
,,,X,X,X,X,X,,,PMLN6124,Impres 3 kit de vigilancia 3 hilos con tubo translúcido beige FM / UL,,X,, $ 307.087 
