ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,¿Existencias?,Inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Posición,Marcas,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,Nombre del atributo 4,Valor(es) del atributo 4,Atributo visible 4,Atributo global 4,Nombre del atributo 5,Valor(es) del atributo 5,Atributo visible 5,Atributo global 5,Nombre del atributo 6,Valor(es) del atributo 6,Atributo visible 6,Atributo global 6,Nombre del atributo 7,Valor(es) del atributo 7,Atributo visible 7,Atributo global 7,Nombre del atributo 8,Valor(es) del atributo 8,Atributo visible 8,Atributo global 8
3780,variation,e3c93c5679b7,,"Antena corta UHF 403-433 MHZ - DEP450, UHF",1,0,visible,,Antena rango UHF,1,,0,0,,,,,,0,,Compatibilidad,DEP450,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3781,variation,de11ce2507ba,,"Antena corta UHF 403-433 MHZ - DEP250, UHF",1,0,visible,,Antena rango UHF,1,,0,0,,,,,,0,,Compatibilidad,DEP250,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3782,variable,PMAE4003A,,Antena corta UHF 438-470 MHZ,1,0,visible,Antena rango UHF,,1,,0,0,,"Ventas > Accesorios, Ventas > Accesorios > Portátiles > Antenas, Ventas > Accesorios > Antenas, Ventas > Accesorios > Portátiles, Ventas",,,https://www.interwins.cl/wp-content/uploads/2023/02/04-ANTENA-CORTA-UHF-438-470-MHZ.jpg,503,,Compatibilidad,"DEP250, DEP450",1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,UHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3783,variation,PMAE4003A,,"Antena corta UHF 438-470 MHZ - DEP450, UHF",1,0,visible,,Antena rango UHF,1,,0,0,15606,,,,https://www.interwins.cl/wp-content/uploads/2023/02/04-ANTENA-CORTA-UHF-438-470-MHZ.jpg,0,,Compatibilidad,DEP450,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3784,variation,f21af6398588,,"Antena corta UHF 438-470 MHZ - DEP450, UHF",1,0,visible,,Antena rango UHF,1,,0,0,,,,,,0,,Compatibilidad,DEP450,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3785,variation,232b6a859ecc,,"Antena corta UHF 438-470 MHZ - DEP250, UHF",1,0,visible,,Antena rango UHF,1,,0,0,,,,,,0,,Compatibilidad,DEP250,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3786,variable,PMAD4121B,,Antena VHF corta 160-174 FM / UL,1,0,visible,Antena rango VHF,,1,,0,0,,"Ventas > Accesorios, Ventas > Accesorios > Antenas, Ventas > Accesorios > Portátiles > Antenas, Ventas > Accesorios > Portátiles, Ventas",,,https://www.interwins.cl/wp-content/uploads/2023/12/PMAD4121–Antena-VHF-corta-160-174MHZ-–FM-UL.jpg,529,,Compatibilidad,"DEP550e, DEP570e, DGP5050e, DGP5550e, DGP8050e, DGP8550e",1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,VHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3787,variation,PMAD4121B,,"Antena VHF corta 160-174 FM / UL - DEP550e, VHF",1,0,visible,,Antena rango VHF,1,,0,0,17287,,,,https://www.interwins.cl/wp-content/uploads/2023/12/PMAD4121–Antena-VHF-corta-160-174MHZ-–FM-UL.jpg,0,,Compatibilidad,DEP550e,,1,Frecuencia,VHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3788,variation,44ee21e34827,,"Antena VHF corta 160-174 FM / UL - DEP550e, VHF",1,0,visible,,Antena rango VHF,1,,0,0,,,,,,0,,Compatibilidad,DEP550e,,1,Frecuencia,VHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3789,variation,62f389c17102,,"Antena VHF corta 160-174 FM / UL - DEP570e, VHF",1,0,visible,,Antena rango VHF,1,,0,0,,,,,,0,,Compatibilidad,DEP570e,,1,Frecuencia,VHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3790,variation,516478f885af,,"Antena VHF corta 160-174 FM / UL - DGP5050e, VHF",1,0,visible,,Antena rango VHF,1,,0,0,,,,,,0,,Compatibilidad,DGP5050e,,1,Frecuencia,VHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3791,variation,d1ff14243f0e,,"Antena VHF corta 160-174 FM / UL - DGP5550e, VHF",1,0,visible,,Antena rango VHF,1,,0,0,,,,,,0,,Compatibilidad,DGP5550e,,1,Frecuencia,VHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3792,variation,1be00649ce62,,"Antena VHF corta 160-174 FM / UL - DGP8050e, VHF",1,0,visible,,Antena rango VHF,1,,0,0,,,,,,0,,Compatibilidad,DGP8050e,,1,Frecuencia,VHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3793,variation,06283537bb58,,"Antena VHF corta 160-174 FM / UL - DGP8550e, VHF",1,0,visible,,Antena rango VHF,1,,0,0,,,,,,0,,Compatibilidad,DGP8550e,,1,Frecuencia,VHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
